Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Location of study compared with province or territory of residence with countries outside Canada,      India,,1375,,610,,770,,169340,,85500,,83840,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,3060,,1785,,1275,,115690,,66215,,49470,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,680,,310,,370,,98415,,46230,,52185,
Location of study compared with province or territory of residence with countries outside Canada,      France,,110,,50,,60,,10775,,5800,,4975,
Location of study compared with province or territory of residence with countries outside Canada,      Other,,7470,,3590,,3885,,613145,,301635,,311510,
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,157,96000,,45715,,50285,,7229120,,3498620,,3730500,
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,,25500,,13165,,12330,,2521955,,1299795,,1222160,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,70495,,32545,,37955,,4707170,,2198830,,2508335,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,,58550,,26880,,31660,,3713145,,1728610,,1984540,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,,54335,,24805,,29535,,3432015,,1593170,,1838850,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,,4210,,2080,,2130,,281130,,135440,,145690,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,11950,,5660,,6295,,994025,,470225,,523800,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,2345,,1180,,1160,,127005,,65045,,61960,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,,785,,290,,495,,97230,,32925,,64300,
Location of study compared with province or territory of residence with countries outside Canada,      India,,1120,,490,,625,,143205,,70040,,73175,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,1250,,665,,580,,62325,,34315,,28010,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,565,,250,,310,,82020,,37900,,44125,
Location of study compared with province or territory of residence with countries outside Canada,      France,,95,,45,,50,,8705,,4630,,4070,
Location of study compared with province or territory of residence with countries outside Canada,      Other,,5800,,2735,,3065,,473530,,225365,,248160,
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,163,149495,,71145,,78350,,11038440,,5342755,,5695680,
Labour force status,  In the labour force,,101650,,51715,,49935,,7141675,,3689625,,3452055,
Labour force status,    Employed,,95975,,48925,,47050,,6612150,,3414255,,3197895,
Labour force status,    Unemployed,,5680,,2790,,2885,,529525,,275370,,254160,
Labour force status,  Not in the labour force,,47845,,19435,,28410,,3896765,,1653130,,2243630,
Labour force status,Participation rate,,68,,72.7,,63.7,,64.7,,69.1,,60.6,
Labour force status,Employment rate,,64.2,,68.8,,60.1,,59.9,,63.9,,56.1,
Labour force status,Unemployment rate,,5.6,,5.4,,5.8,,7.4,,7.5,,7.4,
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,164,149495,,71145,,78350,,11038440,,5342755,,5695685,
Work activity during the reference year,  Did not work,165,44075,,17730,,26345,,3696235,,1561475,,2134755,
Work activity during the reference year,  Worked,,105420,,53415,,52000,,7342205,,3781280,,3560925,
Work activity during the reference year,    Worked full year; full time,166,58220,,32295,,25925,,3837565,,2148635,,1688935,
Work activity during the reference year,    Worked part year and/or part time,167,47195,,21120,,26080,,3504645,,1632645,,1871995,
Work activity during the reference year,Average weeks worked in reference year,,43.6,,44.4,,42.8,,42.9,,43.4,,42.3,
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,168,101650,,51710,,49935,,7141675,,3689625,,3452055,
Class of worker,  Class of worker - not applicable,169,1455,,675,,780,,171050,,81735,,89315,
Class of worker,  All classes of workers,170,100200,,51035,,49155,,6970625,,3607890,,3362735,
Class of worker,    Employee,,88695,,44050,,44645,,6146035,,3084740,,3061295,
Class of worker,    Self-employed,171,11510,,6990,,4510,,824595,,523145,,301445,
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,172,101650,,51710,,49940,,7141675,,3689625,,3452050,
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,169,1450,,670,,780,,171045,,81735,,89315,
Occupation - National Occupational Classification (NOC) 2016,  All occupations,170,100195,,51040,,49160,,6970625,,3607890,,3362735,
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,,15565,,9725,,5840,,790880,,483240,,307635,
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,,17000,,5445,,11555,,1124770,,357215,,767555,
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,,8125,,6410,,1715,,516110,,399195,,116915,
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,,6275,,1305,,4965,,447045,,90495,,356550,
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,,12765,,3830,,8935,,831340,,265075,,566265,
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,,3385,,1555,,1830,,225720,,104445,,121275,
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,,23090,,10365,,12725,,1632085,,709375,,922710,
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,,9350,,8735,,620,,927820,,866870,,60950,
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,,1150,,905,,240,,113405,,88150,,25260,
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,,3480,,2760,,720,,361455,,243835,,117620,
Industry - North American Industry Classification System (NAICS) 2012,Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,173,101650,,51715,,49935,,7141675,,3689625,,3452050,
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,169,1450,,675,,780,,171050,,81730,,89315,
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,170,100200,,51040,,49160,,6970625,,3607890,,3362735,
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,,360,,205,,160,,102070,,67005,,35070,
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,,190,,140,,50,,32340,,27920,,4415,
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,,660,,490,,170,,50820,,38195,,12630,
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,,5525,,4690,,830,,476835,,419600,,57230,
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,,9925,,7395,,2530,,683335,,482800,,200530,
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,,6080,,3960,,2125,,270745,,178945,,91800,
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,,12255,,5845,,6405,,783540,,367175,,416365,
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,,3805,,2615,,1190,,329240,,242045,,87190,
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,,2780,,1660,,1120,,176715,,101045,,75670,
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,,6650,,3140,,3510,,380765,,169590,,211180,
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,,2250,,1015,,1235,,144275,,77385,,66890,
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,,9330,,5370,,3960,,567825,,316685,,251140,
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,,385,,195,,185,,12365,,5290,,7075,
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,,4220,,2290,,1930,,338640,,190210,,148430,
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,,8630,,2300,,6325,,528470,,163680,,364795,
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,,10520,,1905,,8610,,754555,,134270,,620275,
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,,1935,,1055,,875,,147425,,75330,,72095,
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,,6325,,2710,,3615,,478070,,201260,,276805,
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),,3675,,1560,,2110,,296960,,133220,,163745,
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,,4710,,2495,,2215,,415635,,216250,,199385,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,174,95975,,48925,,47050,,6612150,,3414255,,3197900,
